ID	STRUCTURE	FREQUENCY	Bana	BiaoMin	CentralGuizhouChuanqiandian	Chuanqiandian	EasternBahen	EasternLuobuohe	EasternQiandong	EasternXiangxi	Numao	WesternBaheng	WesternLuobuohe	WesternQiandong	WesternXiangxi	Younuo	ZaoMin	COGNATESETS	CONCEPTS
1187-8	t	8	⁵⁵	⁵³	⁴²	³³	⁵³	²	³⁵	⁵³	⁴⁴	⁵³	²	¹¹	⁴⁴	⁵⁵	⁴⁴	3077:3, 4381:3, 5187:2, 2004:2, 2266:2, 2727:3, 7503:3, 9232:2	close (the door) / congee (gruel, porridge) / defecate / duck / gnaw / hot pepper/ chili / pee / press / squeeze
797-6	t	6	⁵⁵	³³	⁵⁵	²¹	⁵³	²⁴	¹³	³⁵	⁴²	⁴²	³⁵	⁵³	²²	⁵⁵	Ø	2403:3, 4922:3, 6541:2, 4358:2, 3865:2, 11256:2	a lame person / cow / flow / glutinous rice / hen / narrow / younger sister
1021-5	t	5	⁵⁵	²⁴	⁴²	³³	⁵³	³³	³⁵	⁵³	⁴⁴	³⁵	³¹	¹¹	⁴⁴	⁴⁴	⁴²	6587:2, 803:2, 3665:3, 3451:2, 7602:3	bend (curved) / extinguish / fight / navel / quilt / rob (somebody)
1123-5	t	5	⁵⁵	²⁴	²⁴	⁵⁵	³¹³	⁵⁵	³³	⁵⁵	¹³	⁴⁴	⁵⁵	²²	³⁵	³³	Ø	6297:3, 10897:2, 5716:2, 10865:2, 11227:3	left / mosquito / what / where / which / younger brother
428-4	t	4	⁵⁵	Ø	⁴²	³³	⁵³	³³	³⁵	³⁵	⁴⁴	⁵³	⁵⁵	¹¹	⁴⁴	⁵⁵	²²	11036:4, 11253:3, 2474:2, 8196:2	crow / daughter / girl / scissor / wing / younger sister
822-4	t	4	⁵⁵	²⁴	⁴²	⁴⁴	¹¹	²⁴	⁴⁴	³³	⁴⁴	¹¹	³⁵	³³	⁵³	¹³	⁴²	210:3, 335:4, 2260:3, 10618:3	afternoon / arrow / congee (gruel, porridge) / evening / walk
823-4	t	4	⁵⁵	³⁵	¹³	²⁴	³¹³	⁵⁵	³³	¹³	³¹	³¹	⁵⁵	³³	⁴⁴	³³	²⁴	5903:2, 6589:2, 309:2, 2796:2	ant / difficult / lock / navel
922-4	t	4	⁵⁵	⁴²	³¹	²¹	³	⁵⁵	³⁵	⁵⁵	⁵³	¹¹	⁵⁵	Ø	²²	³²	⁴⁴	3918:3, 6294:3, 8192:3, 3302:2	elder brother / fly (insect) / mosquito / scissor
1054-4	t	4	⁵⁵	⁴²	²²	¹³	¹¹	²⁴	⁵³	¹³	³¹	⁴⁴	³⁵	²²	⁴⁴	¹³	²²	8935:4, 9898:3, 1372:3, 6353:3	buttocks / mountain / soft / thief
1249-4	t	4	⁵⁵	³⁵	⁵⁵	³¹	³	³¹	⁴⁴	Ø	⁵⁵	⁴⁴	³¹	⁵⁵	³¹	⁴⁴	²⁴	145:3, 6399:2, 10792:3, 10790:2	a lame person / mouth / well
280-3	t	3	⁵⁵	Ø	⁴²	³³	⁵³	³³	³⁵	³⁵	⁴⁴	⁵³	³¹	¹¹	⁴⁴	⁵⁵	⁴⁴	5633:4, 7030:2, 2566:3	dark / laugh (smile) / open (a door)
567-3	t	3	⁵⁵	³¹	¹³	⁵⁵	⁵³	⁵⁵	Ø	³¹	¹³	³¹	³¹	¹³	⁴⁴	¹³	²⁴	8459:3, 11252:2, 10631:3	shoot (an arrow) / wall / younger brother / younger sister
588-3	t	3	⁵⁵	²⁴	⁴²	⁴⁴	⁵⁵	²⁴	⁴⁴	³³	⁴⁴	⁵⁵	⁵⁵	³³	⁵³	Ø	Ø	9701:3, 10089:4, 8846:2	smoke / swell (of tissue) / to smell
683-3	t	3	⁵⁵	²⁴	¹³	²¹	⁵⁵	²⁴	⁴⁴	³⁵	⁴²	⁵⁵	³⁵	³³	⁴⁴	⁴⁴	⁴²	10421:3, 291:4, 7520:3	angular / pull / umbrella
995-3	t	3	⁵⁵	²⁴	⁴²	⁴⁴	⁵⁵	²⁴	²²	¹³	³¹	⁵⁵	³⁵	³³	³¹	⁵⁴	⁴²	6019:4, 976:2, 2066:3	boiled water / coal / lung
1108-3	t	3	⁵⁵	³³	²⁴	⁴³	Ø	³¹	²²	¹³	⁵⁵	Ø	³¹	⁵⁵	³⁵	¹³	⁴⁴	4591:3, 6234:4, 33:2	Chinese cabbage / bright / grass / moon / sister-in-law (older brother's wife)
1170-3	t	3	⁵⁵	⁵³	²	³¹	⁵⁵	Ø	³⁵	³¹	⁵⁵	⁵⁵	⁵⁵	⁵⁵	³⁵	⁴⁴	⁴²	7622:2, 3301:2, 6428:2	elder brother / move (something) / rabbit
99-2	t	2	⁵⁵	Ø	⁴²	³³	⁵³	³³	³⁵	⁵³	⁴⁴	⁵³	³¹	¹¹	⁴⁴	²¹	Ø	2988:2, 7667:2	drink / rainbow
213-2	t	2	⁵⁵	²⁴	⁴²	⁴⁴	⁵⁵	²⁴	⁴⁴	³³	⁴⁴	⁵⁵	³⁵	³³	³⁵	⁵⁴	⁴²	8123:2, 3687:2	file / saw
390-2	t	2	⁵⁵	⁵³	⁵⁵	⁵⁵	³¹³	⁵⁵	³³	⁵⁵	³³	³¹	³¹	³³	⁵³	⁴⁴	⁴²	9940:4, 2726:3	defecate / pee / think
559-2	t	2	⁵⁵	²⁴	⁴²	³³	⁵³	³³	²⁴	³⁵	⁴⁴	⁵³	³¹	⁴⁴	⁴⁴	¹³	Ø	10769:2, 4780:2	have a fever / weave
563-2	t	2	⁵⁵	³³	⁵⁵	⁴⁴	³⁵	³¹	Ø	³⁵	³³	³⁵	³¹	⁴⁴	⁴⁴	⁴⁴	⁴⁴	5082:2, 2439:3	crab / hook / shrimp
592-2	t	2	⁵⁵	Ø	⁴²	³³	⁵⁵	³³	Ø	³³	⁴²	⁵⁵	³¹	³³	³⁵	⁵⁴	⁴²	9481:2, 7050:3	outside / stove
596-2	t	2	⁵⁵	Ø	⁴²	⁵⁵	⁵⁵	²⁴	⁵³	⁵⁵	³³	³	³⁵	³³	³⁵	⁴⁴	Ø	5508:2, 8099:2	claw (talon) / kitchen / sand / smoke
653-2	t	2	⁵⁵	²⁴	Ø	³¹	⁵⁵	Ø	⁴⁴	⁵⁵	Ø	⁵⁵	⁵⁵	²²	²²	⁵⁴	²⁴	9431:4, 4240:4	garlic / stool (bench)
790-2	t	2	⁵⁵	²⁴	²	²⁴	³¹³	³³	²⁴	⁵³	³³	³⁵	⁵⁵	³³	³⁵	⁵⁴	²²	7803:3, 8571:2	right (correct) / sickle
842-2	t	2	⁵⁵	²⁴	¹³	⁵⁵	³¹³	²	⁴⁴	³³	Ø	Ø	Ø	³³	⁴⁴	⁵⁴	Ø	7129:2, 8387:2	pants/ trousers / shallow
849-2	t	2	⁵⁵	Ø	³¹	³³	⁵³	Ø	³⁵	³³	⁴⁴	⁵³	Ø	¹¹	⁴⁴	⁵⁴	Ø	4956:3, 2306:3	cooked rice / hide (something)
870-2	t	2	⁵⁵	Ø	⁴²	³³	³³	⁵⁵	³³	⁵⁵	¹³	Ø	⁵⁵	¹³	⁴⁴	⁴⁴	²⁴	10490:2, 7416:2	point at / untie
